INPUT:id	INPUT:left_title	INPUT:right_title	INPUT:left_url	INPUT:right_url	GOLDEN:result	HINT:text
training_1	Австрия приостановила железнодорожное сообщение с Италией из-за коронавируса	Австрия сняла запрет на железнодорожное сообщение с Италией из-за коронавируса	https://lenta.ru/news/2020/02/24/poezd/	https://lenta.ru/news/2020/02/24/av_it/	left_right_cancel	Снятие запрета отменяет новость о самом запрете
training_2	«Газпром» остановил «Силу Сибири»	«Газпром» остановит «Силу Сибири»	https://lenta.ru/news/2020/03/16/sila_sibiri/	https://lenta.ru/news/2020/03/10/siberia/	right_left_cancel	«Остановил» отменяет «остановит»
training_3	Полина Гагарина развелась с мужем	Бывший муж Полины Гагариной запретил ей вывозить дочь из страны	https://lenta.ru/news/2020/12/28/gagarinarazvod/	https://lenta.ru/news/2020/12/30/gagarinanepoedet/	left_right_cause	Правый заголовок - следствие левого
training_4	Собянин прокомментировал смерть Ланового	Умер Василий Лановой	https://lenta.ru/news/2021/01/29/sobyanin/	https://lenta.ru/news/2021/01/28/lanovoy_umer/	right_left_cause	Левый заголовок - следствие правого
training_5	Обнаруживший на похоронах кукол вместо младенцев россиянин рассказал подробности	Найдены нестыковки в деле о подмененных на кукол младенцах в Ставрополе	https://lenta.ru/news/2021/02/11/dd/	https://lenta.ru/news/2021/02/11/baby/	rel	Другая связь - есть общая предшествующая новость
training_6	Помпео рассказал о танцующих и благодарных иракцах	Помпео уличили в дезинформации из-за убийства Сулеймани	https://lenta.ru/news/2020/01/03/tanci/	https://lenta.ru/news/2020/01/04/pompeos_reaction/	rel	Другая связь - общее действующее лицо
training_7	В России задержали политолога Федора Крашенинникова	Популярная блогерша умерла во время беременности	https://lenta.ru/news/2020/07/23/krasheninnikov/	https://lenta.ru/news/2020/07/13/nicole_thea/	bad	Нет связи
training_8	Азербайджан заявил о гибели десяти человек в результате армянского обстрела	Число жертв ракетного удара Армении по Гяндже увеличилось до 13	https://lenta.ru/news/2020/10/17/obstrel/	https://lenta.ru/news/2020/10/17/zhertvi/	left_right_cancel	Правый отменяет левый
training_9	Звезда «Иронии судьбы» Барбара Брыльска высказалась о смерти Мягкова	Светлана Немоляева прокомментировала смерть Андрея Мягкова	https://lenta.ru/news/2021/02/18/brlska/	https://lenta.ru/news/2021/02/18/nemolyaeva/	rel	Другая связь - комментарии разных людей об одном событии
training_10	Подозреваемый по делу о гибели главы минсвязи Приамурья задержан	Подозреваемого в избиении до смерти главы минцифры Приамурья задержали	https://www.kommersant.ru/doc/4917559	https://www.rbc.ru/society/25/07/2021/60fd52d89a794762b01cfcab	same	Заголовки про одно и то же
