INPUT:id	INPUT:left_title	INPUT:right_title	INPUT:left_url	INPUT:right_url	GOLDEN:result
exam_1	Navy releases three videos that showcase “unidentified” objects	US Navy Releases Three New UFO Videos	https://arstechnica.com/science/2020/04/navy-releases-three-videos-that-showcase-unidentified-objects/	https://interestingengineering.com/us-navy-releases-three-new-ufo-videos	same
exam_2	U.S. House Speaker Nancy Pelosi endorses Joe Biden for president	Hillary Clinton endorses Joe Biden's White House bid	https://www.thehindu.com/news/international/us-house-speaker-nancy-pelosi-endorses-joe-biden-for-president/article31445254.ece	https://www.thehindu.com/news/international/hillary-clinton-becomes-latest-democrat-to-endorse-biden/article31458281.ece	rel
exam_3	Many Quebec businesses, but not all, to reopen throughout May	Bombardier to recall 11,000 workers as Quebec prepares to reopen economy	https://montreal.ctvnews.ca/many-quebec-businesses-but-not-all-to-reopen-throughout-may-1.4915367	https://montreal.ctvnews.ca/bombardier-to-recall-11-000-workers-as-quebec-prepares-to-reopen-economy-1.4915604	left_right_cause
exam_4	What service cuts and TTC layoffs will mean for riders	TTC responds to coronavirus with historic service cuts	https://nowtoronto.com/news/coronavirus-ttc-layoffs-service-cuts/	https://nowtoronto.com/news/ttc-responds-to-coronavirus-with-historic-service-cuts/	right_left_cause
exam_5	Family Demands Apology From K24 Over Story on 11-Year-Old's Death	K24 Changes Tune on 11-Year-Old's Death After Family Demands Apology	https://www.kenyans.co.ke/news/52672-family-demands-apology-k24-over-story-11-year-olds-death	https://www.kenyans.co.ke/news/52751-k24-changes-tune-11-year-olds-death-after-family-demands-apology	left_right_cause
exam_6	As he talked layoffs, de Blasio spent $2 million on hiring and promotions in City Hall	De Blasio’s overspending can only discourage Congress from sending NYC aid	https://nypost.com/2020/05/12/de-blasio-spent-nearly-2-million-on-hirings-promotions-in-city-hall/	https://nypost.com/2020/05/17/de-blasio-overspending-can-discourage-congress-from-sending-aid-to-nyc/	left_right_cause
exam_7	China reportedly pressured EU to weaken criticism over coronavirus	China questions US handling of coronavirus amid global backlash	https://nypost.com/2020/04/27/china-pressured-eu-to-weaken-criticism-over-coronavirus-report/	https://nypost.com/2020/04/27/china-questions-us-handling-of-coronavirus-amid-global-backlash/	rel
exam_8	Eight arrests as Smethwick murder victim named as young father Karl Gallagher	Five arrests in armed police raid as man stabbed yards away from Smethwick murder scene	https://www.expressandstar.com/news/local-hubs/sandwell/smethwick/2020/04/28/eight-men-arrested-in-connection-with-smethwick-murder-probe/	https://www.expressandstar.com/news/crime/2020/04/27/armed-police-descend-on-smethwick-street-600-yards-from-murder-scene/	right_left_cancel
exam_9	'Yellowstone' Fans Reveal All Their Favorite Season 2 Moments on Social Media	Kuwait assures of non-interference in domestic Indian affairs	https://popculture.com/tv-shows/news/yellowstone-fans-reveal-favorite-season-2-moments-social-media/	https://www.thehindu.com/news/national/kuwait-assures-of-non-interference-in-domestic-indian-affairs/article31449120.ece	bad
exam_10	China 'concerned' by India cancelling COVID-19 test kits	India cancels orders for Chinese COVID-19 test kits	https://www.rediff.com/news/report/china-concerned-over-icmr-halting-covid-19-test-kits/20200428.htm	https://www.rediff.com/news/report/icmr-cancels-covid-19-test-kits-from-2-chinese-firms/20200427.htm	right_left_cause
