INPUT:id	INPUT:left_title	INPUT:right_title	INPUT:left_url	INPUT:right_url	GOLDEN:result	HINT:text
training_1	FIFA Propose Use of 5 Substitutes to Help With Fixture Congestion When Football Returns	Fifa proposes use of five substitutions to help with fixture congestion	https://www.90min.com/posts/fifa-propose-use-of-5-substitutes-to-help-with-fixture-congestion-when-football-returns-01e6y1vakefw	https://www.bbc.co.uk/sport/football/52443195	same	Same titles
training_2	Rumor | The Pro version of the Meizu 17 will have wireless charging	Meizu 17 Pro has Super wireless mCharge support	https://www.notebookcheck.net/The-Pro-version-of-the-Meizu-17-will-have-wireless-charging.463094.0.html	https://www.gizmochina.com/2020/04/27/meizu-17-pro-has-super-wireless-mcharge-support/	left_right_cancel	Facts refute rumors
training_3	The Last of Us 2 leaked gameplay footage spoils full story	Naughty Dog issues response to The Last of Us 2 gameplay footage leaks	https://www.shacknews.com/article/117740/the-last-of-us-2-leaked-gameplay-footage-spoils-full-story-updated	https://www.shacknews.com/article/117750/naughty-dog-issues-response-to-the-last-of-us-2-gameplay-footage-leaks	left_right_cause	The leak causes company response
training_4	Comment: Now that it’s free, Google Meet needs to copy Zoom’s account-less participation	Google Meet is now free for everyone w/ no time limits or premium account needed	https://9to5google.com/2020/04/29/google-meet-free-zoom-accounts/	https://9to5google.com/2020/04/29/google-meet-free/	right_left_cause	The event causes comments
training_5	Activist Arrested In Kaduna For ‘Insulting Prophet Muhammad’ On Facebook Receives Death Threats From Imam, Police Officer	Activist Arrested In Kaduna For ‘Insulting Prophet Muhammad’ On Facebook	http://saharareporters.com/2020/04/29/activist-arrested-kaduna-%E2%80%98insulting-prophet-muhammad%E2%80%99-facebook-receives-death-threats	http://saharareporters.com/2020/04/28/activist-arrested-kaduna-%E2%80%98insulting-prophet-muhammad%E2%80%99-facebook	right_left_cause	'Death threats' is a major detail, so B causes A
training_6	Holly Willoughby shocked as Bradley Walsh pranks her on This Morning	Kim Jong Un is alive and well,' South Korean official asserts	https://www.entertainmentdaily.co.uk/tv/holly-willoughby-shocked-as-bradley-walsh-pranks-her-by-pretending-to-be-strict-dad-on-this-morning/	https://theweek.com/speedreads/911096/kim-jong-un-alive-well-south-korean-official-asserts	bad	News with no links
training_7	'The Last Dance': 3 things we learned from second night of Michael Jordan documentary	'The Last Dance' brings back brilliant TV roast of Doug Collins	https://www.sportingnews.com/us/nba/news/the-last-dance-3-things-learned-michael-jordan-documentary/gvhgzorfy5gp1hy8a4jnnofyf	https://www.sportingnews.com/us/nba/news/the-last-dance-brings-back-brilliant-tv-roast-of-doug-collins/8uoz9j4x7qet1m8hfxxtedat2	rel	News about the same movie, so it is considered as "Other relationship"
training_8	Hong Kong records no new COVID-19 cases for third day in a row	Zero new COVID-19 cases recorded in Hong Kong for second day	https://coconuts.co/hongkong/news/hong-kong-records-no-new-covid-19-cases-for-third-day-in-a-row/	https://coconuts.co/hongkong/news/zero-new-covid-19-cases-recorded-in-hong-kong-for-second-day/	right_left_cancel	"Third day in a row" refutes "for second day"
training_9	Portrait Mode on iPhone SE relies only on machine learning	Full iPhone SE teardown confirms it can be easily repaired	https://appleinsider.com/articles/20/04/27/portrait-mode-on-iphone-se-relies-only-on-machine-learning	https://appleinsider.com/articles/20/04/27/full-iphone-se-teardown-confirms-it-can-be-easily-repaired	rel	News about the same iPhone model with unknown order, so "Other relationship"
training_10	Zikala accuses DA of fake news in wake of lockdown breach complaint	DA lays criminal charges against Zikalala after Freedom Day event	https://ewn.co.za/2020/04/28/zikala-accuses-da-of-fake-news-in-wake-of-lockdown-breach-complaint	https://ewn.co.za/2020/04/27/da-lays-criminal-charges-against-zikalala-after-freedom-day-event	right_left_cause	Charges cause accusation
