INPUT:id	INPUT:left_title	INPUT:right_title	INPUT:left_url	INPUT:right_url	GOLDEN:result
exam_1	Данные собиравшихся на митинг в поддержку Навального утекли в сеть	Роскомнадзор проверит утечку базы данных с сайта сторонников Навального	https://lenta.ru/news/2021/04/16/utekli/	https://lenta.ru/news/2021/04/20/rkn/	left_right_cause
exam_2	В Госдуме объяснили запрет на мат в соцсетях	Госдума ввела запрет на мат в соцсетях	https://lenta.ru/news/2020/12/24/boyarskiy_mat/	https://lenta.ru/news/2020/12/23/no_mat/	right_left_cause
exam_3	Персональные данные оформлявших цифровые пропуска россиян удалили	Власти Москвы опровергли информацию об удалении данных для цифровых пропусков	https://lenta.ru/news/2020/06/30/data/	https://lenta.ru/news/2020/06/30/no_udalenie/	left_right_cancel
exam_4	Завершилась неделя моды Mercedes-Benz Fashion Week Russia	Анонсирована неделя моды Mercedes-Benz Fashion Week Russia	https://lenta.ru/news/2020/10/27/mbfw/	https://lenta.ru/news/2020/10/14/mercedesbenz_fashion/	right_left_cancel
exam_5	Участок Сокольнической линии московского метро откроют досрочно	Закрытый участок Сокольнической линии столичного метро откроют на две недели раньше	https://www.kommersant.ru/doc/4917549	https://ria.ru/20210725/metropoliten-1742795333.html	same
exam_6	Устроивший ДТП в центре Москвы блогер пересел с водительского сиденья	У виновника ДТП в центре Москвы нашли более 400 штрафов за превышение скорости	https://lenta.ru/news/2021/04/01/edik/	https://lenta.ru/news/2021/04/01/strafy_dtp/	rel
exam_7	Диетолог назвала наименее вредный кофе	Россиянам дали советы по употреблению алкоголя	https://lenta.ru/news/2021/05/02/vredny_koffe/	https://lenta.ru/news/2021/05/07/alcohol/	bad
exam_8	Пострадавший от взрыва жилой дом в Подмосковье восстановят	Семьям погибших при взрыве в доме в Подмосковье выплатят по миллиону рублей	https://lenta.ru/news/2020/04/05/vzryv/	https://lenta.ru/news/2020/04/05/vzryv2/	rel
exam_9	Пожилого российского историка избили в очереди за медицинскими масками	Названы подробности избиения пожилого историка в очереди за медицинскими масками	https://lenta.ru/news/2020/04/08/izbil/	https://lenta.ru/news/2020/04/08/nazarov/	left_right_cause
exam_10	Посол опроверг сообщения о попытке изнасилования российского врача в Абхазии	В Абхазии сообщили о попытке изнасилования российского врача	https://lenta.ru/news/2020/11/06/abh/	https://lenta.ru/news/2020/11/05/ablhazia/	right_left_cancel
