INPUT:id	INPUT:left_title	INPUT:right_title	INPUT:left_url	INPUT:right_url	GOLDEN:result
honey_1	ФСБ предотвратила вооруженное нападение подростков и массовое убийство	Задержанные ФСБ подростки раскрыли цель готовившейся бойни в школе	https://lenta.ru/news/2020/02/26/saratov/	https://lenta.ru/news/2020/02/26/motiv/	left_right_cause
honey_2	Шнуров объяснил удаление старых политических постов в Instagram	Шнуров удалил старые посты про пенсионный возраст и «возвращение Вовы»	https://lenta.ru/news/2020/02/27/shnurov/	https://lenta.ru/news/2020/02/21/udalil_iz_interneta/	right_left_cause
honey_3	Бывшая крупнейшая сеть магазинов в России закроется	Бывшая крупнейшая сеть магазинов России опровергла масштабное закрытие	https://lenta.ru/news/2020/03/02/cube/	https://lenta.ru/news/2020/03/03/kub/	left_right_cancel
honey_4	Количество погибших при пожаре в хосписе возросло до десяти	Девять человек погибли в пожаре в подмосковном хосписе	https://lenta.ru/news/2020/05/11/10/	https://lenta.ru/news/2020/05/11/9_dead/	right_left_cancel
honey_5	Sukhoi Superjet с неисправностью приземлился во Внуково	Российский министр оказался на борту самолета с неисправностью	https://lenta.ru/news/2020/02/18/sukhoi/	https://lenta.ru/news/2020/02/19/manturov/	rel
honey_6	Хакеры выставили на продажу базу номеров миллионов пользователей Clubhouse	На продажу выставили данные пользователей популярного в прошлом приложения Clubhouse	https://ria.ru/20210725/clubhouse-1742811692.html	https://www.ferra.ru/news/apps/na-prodazhu-vystavili-dannye-polzovatelei-populyarnogo-v-proshlom-prilozheniya-clubhouse-25-07-2021.htm	same
honey_7	Москвичам спрогнозировали самый теплый день с начала весны	Синоптик оценил вероятность выпадения в Москве снега в ноябре	https://lenta.ru/news/2020/04/30/vesna/	https://lenta.ru/news/2020/11/07/snow/	bad
honey_8	Россиянка убила двухлетнюю дочь из-за хлебных крошек	Россиянку осудили за убийство ребенка из-за разбросанных по полу хлебных крошек	https://lenta.ru/news/2020/02/25/badmom/	https://lenta.ru/news/2020/03/03/kroshki/	left_right_cause
honey_9	Стало известно об избиении историком Соколовым своей возлюбленной до убийства	Стало известно о звонке историка Соколова в посольство Франции	https://lenta.ru/news/2020/07/04/sokolov/	https://lenta.ru/news/2020/07/06/sokolov/	rel
honey_10	Лукашенко ответил на упреки в проведении тайной инаугурации	Япония оценила инаугурацию Лукашенко	https://lenta.ru/news/2020/09/24/upreki/	https://lenta.ru/news/2020/09/25/japan/	rel
honey_11	Стали известны подробности смерти 23-летнего российского хоккеиста	Российский хоккеист умер в 23 года	Ihttps://lenta.ru/news/2020/07/10/rip_vhl/	https://lenta.ru/news/2020/07/10/umr/	right_left_cause
honey_12	Фильм Кончаловского про расстрел рабочих в СССР попал на Венецианский фестиваль	Кончаловский получил специальную премию жюри Венецианского кинофестиваля	https://lenta.ru/news/2020/07/28/konchalovskyi/	https://lenta.ru/news/2020/09/12/film_venecia/	left_right_cause
honey_13	Турция захотела сотрудничать с Россией после обнаружения газа в Черном море	Турция нашла месторождения газа в Черном море	https://lenta.ru/news/2020/08/25/turkey_gaz/	https://lenta.ru/news/2020/08/20/more/	right_left_cause
honey_14	Репортеры НТВ вынудили дочь Ефремова закрыться от журналистов	Несовершеннолетняя дочь Ефремова поделилась переживаниями	https://lenta.ru/news/2020/06/18/efremova_journ/	https://lenta.ru/news/2020/08/11/doch_efremova/	rel
honey_15	В Минске простились с погибшим во время протестов	В Минске уничтожили стихийный мемориал на месте гибели протестующего	https://lenta.ru/news/2020/08/15/minsk/	https://lenta.ru/news/2020/08/12/memorial/	rel
honey_16	Опальный священник вспомнил о зоне в ответ на обвинение в насилии	В РПЦ заинтересовались сведениями о насилии над детьми в монастыре на Урале	https://lenta.ru/news/2020/07/13/zonaaa/	https://lenta.ru/news/2020/06/29/interesting/	rel
honey_17	США заявили о восстановлении санкций против Ирана вопреки ООН	В России отреагировали на заявление США о восстановлении санкций против Ирана	https://lenta.ru/news/2020/09/20/us_iran/	https://lenta.ru/news/2020/09/20/sboon/	left_right_cause
honey_18	ФСБ задержала россиянина по подозрению в госизмене	Раскрыта личность задержанного ФСБ по подозрению в госизмене россиянина	https://lenta.ru/news/2021/02/19/voronin/	https://lenta.ru/news/2021/02/19/voronin2/	left_right_cause
honey_19	Появились подробности о найденной с кошками и отзывающейся на «кис-кис» девочке	Под Москвой нашли живущую среди кошек и отзывающуюся на «кис-кис» девочку	https://lenta.ru/news/2021/03/24/podrobnosti/	https://lenta.ru/news/2021/03/24/girl/	right_left_cause
honey_20	Министр культуры Крыма объяснила свою ругань на совещании с Аксеновым	Министр культуры Крыма прервала выступление Аксенова фразой «** твою мать»	https://lenta.ru/news/2021/03/11/minlukt/	https://lenta.ru/news/2021/03/11/mat/	right_left_cause
honey_21	Продолжение «Бората» получило длинное название	Продолжение «Бората» получило тизер и дату выхода	https://lenta.ru/news/2020/09/28/borat2/	https://lenta.ru/news/2020/10/01/borat222/	rel
honey_22	Знакомые рассказали о несбывшихся планах покойной экс-участницы Little Big	Экс-участница группы Little Big найдена мертвой	https://lenta.ru/news/2021/03/01/anna/	https://lenta.ru/news/2021/03/01/littlebig/	right_left_cause
honey_23	Россиян предупредили о грядущем подорожании оливкового масла	Подорожание оливкового масла в России опровергли	https://lenta.ru/news/2021/03/01/olive/	https://lenta.ru/news/2021/03/01/oliva/	left_right_cancel
honey_24	Задержание сына бывшего губернатора Фургала опровергли	Стало известно о задержании сына бывшего губернатора Фургала	https://lenta.ru/news/2020/10/05/furgal2/	https://lenta.ru/news/2020/10/05/sonofurgal/	right_left_cancel
honey_25	Возросло число жертв смертельной перестрелки в Ингушетии	Восстановлена картина смертельной перестрелки в Ингушетии	https://lenta.ru/news/2020/06/16/umer/	https://lenta.ru/news/2020/06/16/kartina/	rel
honey_26	США официально опровергли рекорд российских Ту-160	Российские Ту-160 установили мировой рекорд	https://lenta.ru/news/2020/09/23/tu160/	https://lenta.ru/news/2020/09/19/tu160/	right_left_cancel
honey_27	Гузеева станет ведущей «Дома-2»	Гузеева опровергла данные о приглашении стать ведущей «Дома-2»	https://lenta.ru/news/2020/07/26/dom_2/	https://lenta.ru/news/2020/07/26/lara/	left_right_cancel
honey_28	Мишустин анонсировал изменения в новом правительстве	Мишустин заявил о кардинальных переменах в правительстве	https://lenta.ru/news/2020/01/16/mishhh/	https://lenta.ru/news/2020/01/16/cardinal/	same
honey_29	Связь возможного убийцы соратника Басаева с ФСБ опровергли	Появились подробности о связи возможного убийцы соратника Басаева с ФСБ	https://lenta.ru/news/2020/02/17/opr/	https://lenta.ru/news/2020/02/17/bellingcat/	right_left_cancel
honey_30	Полностью обесточивший Сирию взрыв показали на видео	Полностью обесточивший Сирию взрыв назвали терактом	https://lenta.ru/news/2020/08/25/vzriv/	https://lenta.ru/news/2020/08/24/rerakt/	rel
honey_31	Проигнорированный Путиным вице-президент США подошел поздороваться сам	Путин прошел мимо вице-президента США и пожал руку Макрону	https://lenta.ru/news/2020/01/23/pens_yes/	https://lenta.ru/news/2020/01/23/no_pens/	right_left_cause
honey_32	В России отреагировали на идею отпраздновать «годовщину сожжения Москвы»	США решили усилиться в Сирии	https://lenta.ru/news/2020/01/12/reaction/	https://lenta.ru/news/2020/09/19/perebroska/	bad
honey_33	Оценена вероятность подорожания мяса и молока в России	Суэцкий канал намекнул на виновника блокировки движения	https://lenta.ru/news/2020/01/28/myaso_moloko/	https://lenta.ru/news/2021/03/29/suezz/	bad
honey_34	Названа возможная причина пожара в соборе XV века во Франции	Названы потери одного из крупнейших готических соборов Франции из-за пожара	https://lenta.ru/news/2020/07/18/chy/	https://lenta.ru/news/2020/07/18/usherb/	rel
honey_35	Следователи возбудили дело после захвата детей в Петербурге	Соседи рассказали о захватившем в заложники своих детей жителе Петербурга	https://lenta.ru/news/2020/11/24/deloo/	https://lenta.ru/news/2020/11/24/nenorm/	rel
honey_36	В МГУ отреагировали на требование студентов вернуть часть платы за обучение	Студенты МГУ потребуют в суде вернуть часть платы за обучение из-за дистанционки	https://lenta.ru/news/2020/11/18/reaction/	https://lenta.ru/news/2020/11/18/msu_plata/	right_left_cause
honey_37	Неизвестный взорвал бомбу у здания ФСБ на Кавказе	Раскрыты подробности подрыва смертника у здания ФСБ на Кавказе	https://lenta.ru/news/2020/12/11/bomb/	https://lenta.ru/news/2020/12/11/smertnik/	left_right_cause
honey_38	Двух российских депутатов арестовали после задержания губернатора Фургала	Жизнь российского бизнесмена оказалась под угрозой после показаний на Фургала	https://lenta.ru/news/2020/07/10/arest/	https://lenta.ru/news/2020/07/10/zashita/	rel
honey_39	На Украине поймали предполагаемых убийц найденных в шкафу девушек	Двух пропавших в Киеве девушек нашли мертвыми в шкафу	https://lenta.ru/news/2020/01/06/zaderjali/	https://lenta.ru/news/2020/01/05/wardrobe/	right_left_cause
honey_40	У берегов Саудовской Аравии взорвался танкер	Взрыв танкера у берегов Саудовской Аравии признали терактом	https://lenta.ru/news/2020/12/14/tankerr/	https://lenta.ru/news/2020/12/14/tanker_terror/	left_right_cause
honey_41	Гибель курировавшего атаку на Сулеймани офицера ЦРУ опровергли	Стало известно о гибели курировавшего атаку на Сулеймани офицера ЦРУ	https://lenta.ru/news/2020/01/28/babak/	https://lenta.ru/news/2020/01/28/dandrea/	right_left_cancel
honey_42	Награждение российских школьников просроченным лимонадом опровергли	Российских отличников наградили макаронами и просроченным лимонадом	https://lenta.ru/news/2020/02/26/srokvse/	https://lenta.ru/news/2020/02/26/interesting/	right_left_cancel
