left_title	right_title	result	confidence	id	left_url	right_url
Проигнорированный Путиным вице-президент США подошел поздороваться сам	Путин прошел мимо вице-президента США и пожал руку Макрону	right_left_cause	1.0	1869	https://lenta.ru/news/2020/01/23/pens_yes/	https://lenta.ru/news/2020/01/23/no_pens/
В России отреагировали на идею отпраздновать «годовщину сожжения Москвы»	На Украине предложили отпраздновать годовщину сожжения Москвы	right_left_cause	1.0	154	https://lenta.ru/news/2020/01/12/reaction/	https://lenta.ru/news/2020/01/12/nuzhno_zhecj_moskvu/
Россия отреагировала на обращение Пашиняна к Путину	Пашинян обратился к Путину с просьбой обеспечить безопасность Армении	right_left_cause	1.0	1223	https://lenta.ru/news/2020/10/31/armeniya/	https://lenta.ru/news/2020/10/31/pashinyayn/
Россияне похоронили живого пациента с коронавирусом	Внучка «похороненного» живого россиянина прокомментировала произошедшее	left_right_cause	1.0	2577	https://lenta.ru/news/2020/10/12/buried/	https://lenta.ru/news/2020/10/13/granddaughter/
Российские военные укрепили базу в Сирии в ответ на усиление США	США решили усилиться в Сирии	right_left_cause	1.0	2417	https://lenta.ru/news/2020/09/19/otvetocka/	https://lenta.ru/news/2020/09/19/perebroska/
В российском городе загорелся хоспис	Число погибших в сгоревшем российском хосписе выросло	left_right_cause	1.0	1598	https://lenta.ru/news/2020/05/11/hospis/	https://lenta.ru/news/2020/05/11/5/
Неизвестный взорвал бомбу у здания ФСБ на Кавказе	Раскрыты подробности подрыва смертника у здания ФСБ на Кавказе	left_right_cause	1.0	333	https://lenta.ru/news/2020/12/11/bomb/	https://lenta.ru/news/2020/12/11/smertnik/
В МГУ отреагировали на требование студентов вернуть часть платы за обучение	Студенты МГУ потребуют в суде вернуть часть платы за обучение из-за дистанционки	right_left_cause	1.0	601	https://lenta.ru/news/2020/11/18/reaction/	https://lenta.ru/news/2020/11/18/msu_plata/
Россия отреагировала на вызов своего посла в МИД Франции	Посла России вызвали в МИД Франции	right_left_cause	1.0	1126	https://lenta.ru/news/2021/05/04/demarsh/	https://lenta.ru/news/2021/05/04/posol/
Кудрин прокомментировал стрельбу Чубайса из пушки	Чубайс выстрелил из пушки	right_left_cause	1.0	286	https://lenta.ru/news/2020/12/06/ku/	https://lenta.ru/news/2020/12/06/chubays/
Налог на старые автомобили в России захотели повысить	Идею повысить налог на старые автомобили в России объяснили	left_right_cause	1.0	1413	https://lenta.ru/news/2020/02/20/min/	https://lenta.ru/news/2020/02/21/teper_yasno/
Япония запротестовала из-за российской системы ПВО большой дальности на Курилах	Россия разместила на Курилах бьющую на 400 километров систему ПВО	right_left_cause	1.0	1175	https://lenta.ru/news/2020/12/02/japan/	https://lenta.ru/news/2020/12/01/kurili/
Помпео отреагировал на отставку правительства России	Пушков оценил реакцию Помпео на отставку правительства в России	left_right_cause	1.0	1617	https://lenta.ru/news/2020/01/17/vryadli/	https://lenta.ru/news/2020/01/18/push/
Россиянин и пятилетняя девочка погибли во время празднования Масленицы	Появились подробности гибели россиянина и его пятилетней дочери на Масленице	left_right_cause	1.0	44	https://lenta.ru/news/2020/03/01/maslenitsa/	https://lenta.ru/news/2020/03/01/details_maslenica/
ФСБ задержала вице-мэра Челябинска	Раскрыта причина задержания вице-мэра Челябинска	left_right_cause	1.0	712	https://lenta.ru/news/2021/02/18/chell/	https://lenta.ru/news/2021/02/18/reason/
Раскрыты подробности обстрела Чичериной азербайджанскими беспилотниками	Чичерина попала под обстрел азербайджанских беспилотников	right_left_cause	1.0	2505	https://lenta.ru/news/2020/10/02/chich/	https://lenta.ru/news/2020/10/02/chicherina/
Россияне избили приехавшего взять анализ на коронавирус медика и попали на видео	Задержаны избившие фельдшера с анализом на коронавирус россияне	left_right_cause	1.0	1477	https://lenta.ru/news/2020/04/18/skoraya/	https://lenta.ru/news/2020/04/19/izbili/
Российский министр слетал в отпуск в Ниццу на частном самолете во время пандемии	Отдохнувшего в Ницце во время пандемии российского министра отстранили от работы	left_right_cause	1.0	1257	https://lenta.ru/news/2020/11/03/otpusk/	https://lenta.ru/news/2020/11/04/otdohnul/
Мишустин анонсировал изменения в новом правительстве	Мишустин заявил о кардинальных переменах в правительстве	same	1.0	1480	https://lenta.ru/news/2020/01/16/mishhh/	https://lenta.ru/news/2020/01/16/cardinal/
США официально опровергли рекорд российских Ту-160	Российские Ту-160 установили мировой рекорд	right_left_cancel	1.0	2450	https://lenta.ru/news/2020/09/23/tu160/	https://lenta.ru/news/2020/09/19/tu160/
Задержанные ФСБ подростки раскрыли цель готовившейся бойни в школе	ФСБ предотвратила вооруженное нападение подростков и массовое убийство	right_left_cause	1.0	16	https://lenta.ru/news/2020/02/26/motiv/	https://lenta.ru/news/2020/02/26/saratov/
Назван способ обойти блокировку телевизоров Samsung	Samsung начала блокировать телевизоры россиян	right_left_cause	1.0	1201	https://lenta.ru/news/2020/02/07/sams/	https://lenta.ru/news/2020/02/06/tv/
У берегов Саудовской Аравии взорвался танкер	Взрыв танкера у берегов Саудовской Аравии признали терактом	left_right_cause	1.0	356	https://lenta.ru/news/2020/12/14/tankerr/	https://lenta.ru/news/2020/12/14/tanker_terror/
Появились подробности состояния пассажира с симптомами коронавируса в Москве	Пассажир с подозрением на коронавирус прилетел в Москву	right_left_cause	1.0	2271	https://lenta.ru/news/2020/01/31/detal/	https://lenta.ru/news/2020/01/31/shere/
Генпрокуратура прокомментировала изъятие денег у экс-министра Абызова	У бывшего министра Абызова изъяли 32 миллиарда рублей	right_left_cause	1.0	2619	https://lenta.ru/news/2020/10/20/prok/	https://lenta.ru/news/2020/10/20/abizov/
Белый дом объяснил падение Байдена при подъеме на борт номер один	Байден трижды споткнулся и упал при подъеме на борт номер один	right_left_cause	1.0	874	https://lenta.ru/news/2021/03/19/biden3/	https://lenta.ru/news/2021/03/19/bidentrap/
Сломавший ногу о соперника бывший чемпион UFC перенес операцию	Бывший чемпион UFC ударил соперника и сломал ногу	right_left_cause	1.0	1083	https://lenta.ru/news/2021/04/26/operation/	https://lenta.ru/news/2021/04/25/perelom/
Депутат раскритиковал Познера за слова о «фашистских чертах» СССР	Познер заявил о «фашистских чертах» СССР	right_left_cause	0.9	324	https://lenta.ru/news/2020/11/13/posner/	https://lenta.ru/news/2020/11/12/pozner_ussr/
Появились подробности гибели 14-летнего сына худрука театра «Непоседы» под Москвой	Под Москвой погиб 14-летний сын руководителя театра «Непоседы»	right_left_cause	0.9	977	https://lenta.ru/news/2021/04/04/gibel/	https://lenta.ru/news/2021/04/04/pogib/
ФСБ задержала создателей нового самолета для Минобороны	Конструкторов нового самолета для Минобороны арестовали	same	0.9	2239	https://lenta.ru/news/2020/08/24/plane/	https://lenta.ru/news/2020/08/24/il/
Власти Пензы ответили на действия гревших ягодицы над Вечным огнем школьниц	Школьницы с криком «Аллах акбар!» погрели ягодицы над Вечным огнем	right_left_cause	0.9	370	https://lenta.ru/news/2020/12/16/pogrelis/	https://lenta.ru/news/2020/12/16/pogreli/
Рогозин отреагировал на создание в США «супер-пупер-ракеты»	В США анонсировали создание «супер-пупер-ракеты»	right_left_cause	0.9	1632	https://lenta.ru/news/2020/05/16/super_puper/	https://lenta.ru/news/2020/05/15/superpuper/
Гузеева станет ведущей «Дома-2»	Гузеева опровергла данные о приглашении стать ведущей «Дома-2»	left_right_cancel	0.9	2068	https://lenta.ru/news/2020/07/26/dom_2/	https://lenta.ru/news/2020/07/26/lara/
В ЦСКА рассказали о ситуации с улетевшим из России тренером	Пожелавший уволиться тренер ЦСКА улетел из России после разгрома от «Зенита»	right_left_cause	0.9	1857	https://lenta.ru/news/2020/06/22/cska_champiom/	https://lenta.ru/news/2020/06/22/cskaa/
Связь возможного убийцы соратника Басаева с ФСБ опровергли	Появились подробности о связи возможного убийцы соратника Басаева с ФСБ	right_left_cancel	0.9	1365	https://lenta.ru/news/2020/02/17/opr/	https://lenta.ru/news/2020/02/17/bellingcat/
Появились подробности перестрелки между бойцами ОМОН и СОБР в Чечне	В Чечне произошла перестрелка между бойцами ОМОН и СОБР	right_left_cause	0.9	1178	https://lenta.ru/news/2020/10/27/podrobnosti/	https://lenta.ru/news/2020/10/27/chech/
Шнуров отказался прививаться от коронавируса	Сергей Шнуров раскрыл стоимость своего выступления на новогоднем корпоративе	rel	0.9	2675	https://lenta.ru/news/2020/12/21/shnurv/	https://lenta.ru/news/2020/12/21/shnur/
Совершивший трансгендерный каминг-аут Эллиот Пейдж подал на развод с женой	Трансгендерный актер Эллиот Пейдж раскрыл подробности развода с женой	left_right_cause	0.9	571	https://lenta.ru/news/2021/01/27/pageelliot/	https://lenta.ru/news/2021/01/27/elliotsplith/
Личный водитель Бабкиной прояснил информацию о заражении коронавирусом	Личный водитель Бабкиной и вся его семья заразились коронавирусом	right_left_cause	0.9	1508	https://lenta.ru/news/2020/04/23/driver/	https://lenta.ru/news/2020/04/23/zarazno/
Главред «Эха Москвы» ответил на обвинения в домогательствах	Главреда «Эха Москвы» обвинили в домогательствах	right_left_cause	0.9	1540	https://lenta.ru/news/2020/04/29/nepravda/	https://lenta.ru/news/2020/04/29/venedict/
Российских бойцов ММА задержали в Петербурге из-за драки	В полиции прокомментировали задержание российских бойцов MMA	left_right_cause	0.9	1099	https://lenta.ru/news/2021/04/28/mmaandblogger/	https://lenta.ru/news/2021/04/28/zaderzhka/
Российский дипломат отреагировал на данные о генерале ФСБ в деле Boeing MH17	Генерала ФСБ назвали возможным главным фигурантом дела Boeing MH17	right_left_cause	0.9	1533	https://lenta.ru/news/2020/04/29/boeing/	https://lenta.ru/news/2020/04/28/donbass/
Россия ответила послу Азербайджана на ремарку о сбитом вертолете	Азербайджан прокомментировал крушение Ми-24 фразой «на войне как на войне»	right_left_cause	0.9	1155	https://lenta.ru/news/2020/11/12/pogovoree/	https://lenta.ru/news/2020/11/12/polad/
Временную нетрудоспособность Кадырова объяснили	Кадыров временно передал полномочия главы Чечни	right_left_cause	0.9	1494	https://lenta.ru/news/2020/01/16/kadyrov/	https://lenta.ru/news/2020/01/15/kadyrov/
Пользователей сети возмутило заявление Ларисы Долиной о «законном» нарушении ПДД	Директор Долиной отреагировал на критику ее заявления о «законном» нарушении ПДД	left_right_cause	0.9	1951	https://lenta.ru/news/2020/07/05/dolina/	https://lenta.ru/news/2020/07/06/dolina_pdd/
Полностью обесточивший Сирию взрыв показали на видео	Полностью обесточивший Сирию взрыв назвали терактом	rel	0.9	2252	https://lenta.ru/news/2020/08/25/vzriv/	https://lenta.ru/news/2020/08/24/rerakt/
Президент Мали ушел в отставку после ареста мятежниками	Мятежные военные арестовали президента Мали	right_left_cause	0.9	2206	https://lenta.ru/news/2020/08/19/malivse/	https://lenta.ru/news/2020/08/18/malipresident/
Обвиненный в домогательствах на кастинге режиссер возмутился поведением актрисы	Российского режиссера обвинили в домогательствах	right_left_cause	0.9	2403	https://lenta.ru/news/2020/09/18/belkov/	https://lenta.ru/news/2020/09/13/belkov/
Следователи заинтересовались признанием российского медика в убийстве ветеранов	Российский анестезист признался в убийстве более 10 ветеранов	right_left_cause	0.9	1197	https://lenta.ru/news/2020/02/07/proverka/	https://lenta.ru/news/2020/02/07/ybil/
Ольга Бузова заявила о намерении исполнить гимн России на Параде Победы	В Госдуме выступили против исполнения Бузовой гимна России на Параде Победы	left_right_cause	0.9	668	https://lenta.ru/news/2021/02/10/buzzbuzz/	https://lenta.ru/news/2021/02/11/buzz_off/
Книгу религиозных карикатур выпустят во Франции после расправы над учителем	Обезглавивший учителя убийца предлагал детям деньги за данные о жертве	rel	0.9	2802	https://lenta.ru/news/2020/10/19/karrikaturi/	https://lenta.ru/news/2020/10/19/money_fr/
Михаила Боярского госпитализировали	Раскрыты подробности госпитализации Михаила Боярского	left_right_cause	0.9	698	https://lenta.ru/news/2021/02/16/boyarsky/	https://lenta.ru/news/2021/02/16/boyarski/
Росгвардия ответила на сообщения об афере в ведомстве на полмиллиарда рублей	В Росгвардии выявили хищения на миллионы рублей	right_left_cause	0.9	311	https://lenta.ru/news/2020/12/09/afera/	https://lenta.ru/news/2020/12/09/rosgvard/
Объяснена странная реакция на ВИЧ у получивших австралийскую вакцину от COVID-19	Тесты на ВИЧ у получивших австралийскую вакцину от COVID-19 стали положительными	right_left_cause	0.9	335	https://lenta.ru/news/2020/12/11/vaccine/	https://lenta.ru/news/2020/12/11/vaccinavstral/
Актеры «Черной Пантеры» отреагировали на смерть исполнителя главной роли	Исполнитель роли Черной Пантеры тайно женился перед смертью	rel	0.9	2285	https://lenta.ru/news/2020/08/30/tributetoprince/	https://lenta.ru/news/2020/08/31/sadsadsad/
Россию обвинили в распространении теорий заговора	Россия отреагировала на обвинения Европы в распространении «теорий заговоров»	left_right_cause	0.9	1636	https://lenta.ru/news/2020/05/17/zagovor/	https://lenta.ru/news/2020/05/17/sami_takie/
Россия и Франция тайно выслали дипломатов	Стала известна реакция МИД на слухи о тайной высылке дипломатов России и Франции	left_right_cause	0.9	801	https://lenta.ru/news/2021/03/06/diploma/	https://lenta.ru/news/2021/03/06/echo/
В российском морге устроили корпоратив со стриптизершей	После корпоратива со стриптизершей в российском морге отстранили заведующего	left_right_cause	0.9	10	https://lenta.ru/news/2020/02/22/morg/	https://lenta.ru/news/2020/02/25/dancing_in_morg/
